bin,CYCLE_NUMBER,PRES_ADJUSTED,LATITUDE,LONGITUDE,TIME,MLD_DEPTH,CONSISTENT_ANOM,WMO
10,18,380,17.763,-31.643,2022-07-05,49.93000030517578,1,1902382
8,19,300,17.859,-31.834,2022-07-15,65.51000213623047,NA,1902382
10,19,380,17.859,-31.834,2022-07-15,65.51000213623047,NA,1902382
6,23,220,18.845,-31.579,2022-08-24,48.209999084472656,1,1902382
7,25,260,18.055,-31.809,2022-09-13,57.93000030517578,1,1902382
6,38,220,18.507,-30.2,2023-01-21,78.13999938964844,1,1902382
10,40,380,19.018,-30.318,2023-02-10,102.05999755859375,1,1902382
11,41,420,19.098,-30.528,2023-02-20,98,0,1902382
8,42,300,19.044,-30.8,2023-03-02,122.05999755859375,1,1902382
9,43,340,18.9375,-31.0469,2023-03-12,118.08999633789062,1,1902382
10,46,380,18.6227,-31.7018,2023-04-11,117.93000030517578,1,1902382
6,47,220,18.6741,-32.0797,2023-04-21,90.81999969482422,1,1902382
12,48,460,18.8685,-32.4865,2023-05-01,46.029998779296875,0,1902382
10,50,380,19.365,-32.6725,2023-05-21,38.040000915527344,1,1902382
10,55,380,19.3701,-31.2035,2023-07-10,60.019996643066406,NA,1902382
8,74,300,17.8174,-30.6958,2024-01-16,74.01000213623047,1,1902382
10,75,380,18.2943,-30.7691,2024-01-26,67.8699951171875,1,1902382
12,77,460,19.8365,-31.1567,2024-02-15,83.91999816894531,0,1902382
7,78,260,20.0521,-30.7021,2024-02-25,114.15999603271484,1,1902382
6,79,220,19.6006,-30.3127,2024-03-06,94.08000183105469,1,1902382
9,79,340,19.6006,-30.3127,2024-03-06,94.08000183105469,1,1902382
6,80,220,19.159300000000002,-30.289,2024-03-16,120.11000061035156,1,1902382
9,80,340,19.159300000000002,-30.289,2024-03-16,120.11000061035156,1,1902382
8,81,300,18.9851,-30.4114,2024-03-26,83.9000015258789,1,1902382
6,82,220,18.9317,-30.5442,2024-04-05,97.80000305175781,1,1902382
9,86,340,19.4927,-29.7657,2024-05-14,125.79000091552734,1,1902382
7,89,260,17.416,-29.5881,2024-06-13,103.94000244140625,1,1902382
10,89,380,17.416,-29.5881,2024-06-13,103.94000244140625,1,1902382
10,90,380,17.8489,-29.362,2024-06-23,50.09000015258789,1,1902382
10,91,380,18.4563,-29.3493,2024-07-03,116.71000671386719,1,1902382
10,92,380,18.7273,-29.51,2024-07-13,64.13999938964844,1,1902382
18,9,700,21.346,-60.256,2022-04-12,12.039999961853027,0,1902383
8,37,300,22.785,-56.377,2023-01-17,101.87999725341797,1,1902383
7,51,260,22.1374,-52.7345,2023-06-06,51.91999816894531,1,1902383
8,64,300,24.1253,-54.6314,2023-10-14,54.029998779296875,1,1902383
7,79,260,22.7279,-52.3932,2024-03-12,23.979999542236328,1,1902383
10,2,380,19.26,-42.475,2022-01-29,123.87000274658203,1,1902384
15,16,580,20.29,-38.965,2022-06-18,50,0,1902384
10,18,380,21.171,-39.235,2022-07-08,64.0199966430664,1,1902384
6,23,220,20.894,-38.199,2022-08-27,60.119998931884766,1,1902384
6,24,220,20.576,-38.717,2022-09-06,43.970001220703125,1,1902384
8,25,300,20.322,-39.242,2022-09-16,52.11000061035156,1,1902384
8,30,300,19.897,-39.132,2022-11-05,60.04999923706055,1,1902384
9,32,340,19.78,-38.157,2022-11-25,74.089996337890625,1,1902384
6,36,220,19.646,-38.37,2023-01-04,110.0199966430664,1,1902384
6,37,220,19.876,-38.633,2023-01-14,97.80999755859375,1,1902384
6,38,220,20.095,-38.848,2023-01-24,122.04000091552734,1,1902384
12,38,460,20.095,-38.848,2023-01-24,122.04000091552734,0,1902384
12,39,460,20.331,-39.162,2023-02-03,120.12000274658203,0,1902384
8,42,300,20.942,-40.385,2023-03-05,108.70999908447266,1,1902384
15,42,580,20.942,-40.385,2023-03-05,108.70999908447266,0,1902384
9,44,340,21.0751,-41.1973,2023-03-25,146.05999755859375,1,1902384
