WMO,Cycle,Category,CYCLE_NUMBER,LATITUDE,LONGITUDE,TIME
2903451,43,0,43,-0.4025,148.7907,2024-04-30
2903451,33,0,33,-0.3837,149.4713,2024-01-21
6902548,203,0,203,70.876,4.411,2017-08-14
6902548,223,0,223,71.099,-0.293,2017-11-25
6902548,191,0,191,71.665,6.835,2017-06-11
6902548,211,0,211,71.076,-0.135,2017-09-24
6902548,29,0,29,64.539,-3.641,2015-03-19
6902548,187,2,187,71.885,4.006,2017-05-19
6902548,209,0,209,70.681,2.192,2017-09-14
6902548,21,0,21,64.31,-6.152,2015-02-02
6902548,222,0,222,71.058,-0.304,2017-11-19
5905133,117,1,117,-37.035,2.518,2020-11-25
5905099,106,1,106,-54.167,-125.874,2020-03-07
5905099,108,1,108,-53.56,-127.609,2020-03-27
6990505,61,1,61,-10.628600666666667,48.7539695,2024-05-13
6990505,62,1,62,-11.1674755,47.20078483333334,2024-05-22
2902195,102,0,102,7.678,84.916,2017-05-31
2902195,118,0,118,9.359,82.839,2017-08-18
2902195,119,0,119,8.938,82.406,2017-08-23
2902195,144,0,144,6.319,82.722,2017-12-22
2902195,120,0,120,8.626,82.204,2017-08-28
2902195,103,0,103,8.252,84.627,2017-06-05
2902195,121,0,121,8.552,82.42,2017-09-01
2902195,143,0,143,6.667,82.631,2017-12-17
2902195,122,0,122,8.705,82.833,2017-09-06
5905501,32,1,32,-44.68569333333333,150.13835333333333,2022-05-06
5905501,135,1,135,-45.83650666666667,140.16497166666667,2024-02-04
5905501,118,1,118,-44.898085,145.90368333333333,2023-08-18
5905501,66,0,66,-45.963768333333334,151.49334666666667,2022-06-26
5905501,68,1,68,-46.221136666666666,151.56423,2022-06-29
7900585,158,1,158,57.32484,-22.46672,2023-01-26
7900585,112,1,112,51.58376,-32.69939,2022-06-09
6903553,7,0,7,69.7363,0.67323,2019-06-20
6903553,84,0,84,71.31396,-1.11892,2020-07-10
6903553,105,0,105,68.64663,1.18119,2020-11-22
6903553,33,0,33,69.61023,4.04289,2019-10-12
6903553,92,0,92,70.10095,-0.94782,2020-09-05
6903553,91,2,91,70.95922,-0.96191,2020-08-21
6903553,88,0,88,71.51357278688525,-0.7745455737704918,2020-08-03
6903553,78,0,78,70.10334,0.21065,2020-06-04
6903553,41,0,41,69.42812,4.54087,2019-11-04
6903553,6,0,6,69.97462,1.14143,2019-06-15
1902498,9,0,9,-6.1497,-2.3749,2024-05-07
7900943,18,0,18,-62.1451655,84.49749266666667,2023-05-04
5906501,81,1,81,-41.743,70.581,2024-06-04
5906501,14,1,14,-37.465,32.239,2022-07-17
5906501,3,1,3,-40.7,18.089,2022-03-26
6901523,68,1,68,60.37787333333333,-39.0135,2014-04-06
6901523,154,2,154,59.29947333333333,-44.943328333333334,2015-06-16
5906553,21,1,21,-56.1867,-119.9496,2023-07-24
5906004,3,0,3,-59.989,-46.114,2019-03-25
5906004,5,2,5,-59.754,-42.924,2019-04-14
5903649,64,0,64,-46.567,148.61,2011-04-15
5903649,283,3,283,-44.605,136.909,2011-12-22
5903649,102,1,102,-45.869,147.684,2011-05-25
5903649,219,2,219,-44.874,139.555,2011-10-27
5903649,2,1,2,-46.303,145.576,2011-01-10
5903649,173,1,173,-45.146,144.035,2011-08-25
5903649,1,1,1,-46.584,145.268,2011-01-07
5903649,3,1,3,-46.223,145.886,2011-01-14
5903649,206,1,206,-44.324,140.978,2011-10-12
5903649,182,2,182,-44.975,143.806,2011-09-11
5903649,179,1,179,-45.048,144.069,2011-08-30
5903649,79,1,79,-45.876,147.306,2011-04-28
5903649,88,1,88,-45.675,147.114,2011-05-11
5905638,101,0,101,-69.28939445345975,166.50008426853202,2020-12-22
5905638,174,1,174,-65.583,149.781,2022-12-22
5905638,183,1,183,-64.801,147.291,2023-03-26
5905134,126,1,126,-33.312,5.234,2021-03-01
5905134,154,0,154,-30.988,-1.771,2021-12-07
5905134,134,0,134,-32.052,6.417,2021-05-20
5905134,133,2,133,-32.194,4.861,2021-05-10
5905134,164,0,164,-29.282,-1.149,2022-03-17
5905134,121,1,121,-33.437,7.719,2021-01-09
5905134,132,1,132,-31.204,6.289,2021-04-30
5905134,127,0,127,-33.633,5.262,2021-03-11
5905134,122,1,122,-32.135,6.762,2021-01-19
5906208,41,1,41,-45.42,70.782,2021-02-21
5906208,38,1,38,-43.159,63.255,2021-01-22
5906208,40,1,40,-45.244,66.407,2021-02-11
7901099,5,0,5,4.5643,-156.0255,2023-11-19
3902120,108,0,108,-24.30004,-26.4827,2019-08-08
4901802,16,2,16,69.64100499999999,-61.361209499999994,2016-07-24
4903485,38,1,38,28.1976,-16.0069,2024-04-23
4903485,34,0,34,29.0025,-16.6287,2024-03-15
6904118,61,0,61,-40.93233,29.31567,2022-11-11
6904118,48,0,48,-41.15343,22.52701,2022-08-14
6904118,146,2,146,-42.66641,65.78287,2024-06-18
6904118,15,2,15,-32.55907,14.10927,2021-12-29
6904118,86,1,86,-43.64666,30.34299,2023-05-02
6904118,133,0,133,-38.59104,50.54678,2024-03-20
6904118,128,1,128,-38.92516,44.8217,2024-02-15
6904118,58,3,58,-38.93168,27.10814,2022-10-21
6904118,36,0,36,-36.81374,16.01757,2022-05-23
6904118,16,0,16,-32.86993,14.49294,2022-01-05
6904118,85,0,85,-43.704,29.60538,2023-04-25
6904118,129,0,129,-40.21553,44.36602,2024-02-22
6904118,72,2,72,-43.79237,26.04185,2023-01-26
6904118,51,1,51,-39.0857,23.52727,2022-09-03
6904118,27,0,27,-37.02866,11.12901,2022-03-22
6904118,83,0,83,-44.14417,28.07918,2023-04-12
6904118,13,3,13,-31.76894,14.52783,2021-12-16
6904118,78,1,78,-43.71515,26.39947,2023-03-08
6904118,11,2,11,-32.16664,15.12123,2021-12-02
6904118,126,0,126,-37.81292,43.56967,2024-02-01
6904118,33,1,33,-36.65546,14.08429,2022-05-02
6904118,53,1,53,-37.74346,26.93313,2022-09-17
6904118,26,1,26,-35.8115,12.09024,2022-03-15
6904118,49,1,49,-42.78905,24.3631,2022-08-21
5903629,100,3,100,-44.157,138.648,2011-01-22
5903629,53,0,53,-45.164,138.242,2010-11-27
5903629,101,1,101,-44.075,138.658,2011-01-26
5903629,52,0,52,-45.142,138.287,2010-11-24
5903629,76,3,76,-45.033,138.25,2010-12-25
5903629,92,0,92,-44.376,138.705,2011-01-13
5906312,47,0,47,-56.2647,-40.5121,2024-02-29
5906312,21,0,21,-58.42,-52.2803,2023-06-06
5906312,37,2,37,-58.5762,-47.6832,2023-11-18
6903273,54,0,54,70.314,-4.748,2016-11-03
6903273,166,2,166,63.787,-2.907,2020-01-08
6903273,63,0,63,66.449,-6.413,2017-02-07
6903273,183,0,183,64.518,-1.654,2020-06-29
6901521,30,0,30,59.54793166666666,-51.916578333333334,2013-07-25
2903672,47,2,47,35.052,148.298,2021-08-15
5906500,11,1,11,-40.602,19.26,2022-06-18
5905531,65,1,65,-25.839413333333333,107.51467166666669,2024-04-19
5905531,66,1,66,-26.443051666666666,107.92714,2024-04-29
5905531,74,2,74,-28.64022333333333,106.28025666666666,2024-07-17
5905531,71,0,71,-27.561761666666666,105.35549333333331,2024-06-18
5905531,82,0,82,-28.682973333333333,107.0929,2024-10-06
5905531,28,2,28,-23.158181666666664,111.93546333333332,2023-04-19
5905531,76,1,76,-29.459,106.561965,2024-08-07
