WMO,Cycle,Category,CYCLE_NUMBER
2902762,88,0,88
2902762,89,0,89
2902762,9,0,9
2902762,90,0,90
2902762,91,0,91
2902762,92,0,92
2902762,93,0,93
2902762,94,0,94
2902762,95,0,95
2902762,96,0,96
2902762,97,0,97
2902762,98,0,98
2903213,1,3,1
2903213,2,2,2
2903329,10,0,10
2903329,9,3,9
2903329,11,0,11
2903329,13,0,13
2903329,15,0,15
2903329,16,0,16
2903329,18,0,18
2903329,30,0,30
2903329,31,0,31
2903329,34,0,34
2903329,38,0,38
2903329,39,0,39
2903329,40,2,40
2903329,41,0,41
2903329,42,0,42
2903329,47,0,47
2903329,48,0,48
2903329,49,0,49
2903329,50,0,50
2903329,51,0,51
2903329,52,0,52
2903329,53,0,53
2903329,54,0,54
2903329,55,0,55
2903329,56,0,56
2903329,57,0,57
2903329,58,0,58
2903329,59,0,59
2903329,60,0,60
2903329,61,0,61
2903329,7,0,7
2903329,72,0,72
2903329,73,0,73
2903329,74,0,74
2903329,75,0,75
2903329,76,0,76
2903329,77,3,77
2903329,79,2,79
2903329,8,0,8
2903329,80,0,80
2903329,81,1,81
2903329,82,2,82
2903330,1,0,1
2903330,10,0,10
2903330,11,0,11
2903330,14,0,14
2903330,16,0,16
2903330,19,0,19
2903330,2,0,2
2903330,20,0,20
2903330,21,0,21
2903330,26,0,26
2903330,28,2,28
2903330,29,0,29
2903330,3,0,3
2903330,30,0,30
2903330,31,0,31
2903330,33,0,33
2903330,36,2,36
2903330,38,0,38
2903330,39,0,39
2903330,40,2,40
2903330,41,0,41
2903330,42,0,42
2903330,46,0,46
2903330,50,3,50
2903330,51,0,51
2903330,52,0,52
2903330,53,0,53
2903330,56,0,56
2903330,57,0,57
2903330,58,0,58
2903330,59,0,59
2903330,62,0,62
2903330,63,0,63
2903330,71,1,71
2903330,74,2,74
2903330,75,2,75
2903330,8,2,8
2903330,81,2,81
2903330,82,2,82
2903392,30,0,30
2903392,10,2,10
2903392,29,0,29
2903392,101,2,101
2903392,32,0,32
2903392,105,0,105
2903392,76,1,76
2903392,106,1,106
2903392,89,1,89
2903392,11,0,11
2903392,9,0,9
2903392,114,0,114
2903392,92,2,92
2903392,115,0,115
2903392,93,1,93
2903392,117,0,117
2903392,94,2,94
2903392,119,0,119
2903392,99,2,99
2903392,124,0,124
2903392,130,2,130
2903392,131,1,131
2903392,132,2,132
2903392,133,1,133
2903392,134,2,134
2903392,136,2,136
2903392,137,2,137
2903392,138,0,138
2903392,140,2,140
2903392,142,2,142
2903392,143,2,143
2903392,144,2,144
2903392,145,2,145
2903392,146,2,146
2903392,148,3,148
2903392,149,2,149
2903392,150,3,150
2903392,151,0,151
2903392,155,0,155
2903392,156,2,156
2903392,157,3,157
2903392,158,2,158
2903392,159,2,159
2903392,160,2,160
2903392,161,2,161
2903392,162,2,162
2903392,163,2,163
2903392,164,1,164
2903392,165,1,165
2903392,166,2,166
2903392,24,0,24
2903392,77,2,77
2903392,78,2,78
2903392,84,0,84
2903392,88,0,88
2903393,101,0,101
2903393,102,0,102
2903393,103,0,103
2903393,108,0,108
2903393,111,0,111
2903393,112,2,112
2903393,113,0,113
2903393,115,2,115
2903393,116,2,116
2903393,132,0,132
2903393,137,0,137
2903393,139,0,139
2903393,145,0,145
2903393,151,0,151
2903393,16,0,16
2903393,29,2,29
2903393,36,0,36
2903393,46,0,46
2903393,47,0,47
