bin,CYCLE_NUMBER,PRES_ADJUSTED,LATITUDE,LONGITUDE,TIME,MLD_DEPTH,CONSISTENT_ANOM,WMO
7,2,260,-0.196,-99.6278,2023-06-05,55.720001220703125,1,2903462
8,5,300,-0.0012,-98.4319,2023-07-05,38.15999984741211,1,2903462
6,7,220,-0.3461,-97.5682,2023-07-25,57.779998779296875,1,2903462
7,7,260,-0.3461,-97.5682,2023-07-25,57.779998779296875,1,2903462
6,10,220,-0.5671,-97.9128,2023-08-24,21.94999885559082,1,2903462
8,13,300,0.8501,-98.4669,2023-09-23,54.099998474121094,NA,2903462
8,21,300,0.3305,-101.1613,2023-12-12,88.220001220703125,1,2903462
7,26,260,-0.2575,-103.4026,2024-01-31,32.040000915527344,1,2903462
7,28,260,-0.0238,-101.0926,2024-02-20,4.050000190734863,1,2903462
7,30,260,0.1592,-98.3814,2024-03-12,3.9800000190734863,1,2903462
7,35,260,0.4581,-100.1144,2024-05-01,38.25,1,2903462
7,36,260,0.4892,-101.3145,2024-05-11,36.15999984741211,1,2903462
10,2,380,3.8867,-100.3294,2023-06-06,73.55999755859375,1,2903463
10,4,380,4.0438,-100.7813,2023-06-26,103.88999938964844,0,2903463
9,6,340,3.9036,-100.2277,2023-07-16,63.400001525878906,1,2903463
6,7,220,3.5111,-99.9227,2023-07-26,85.68000030517578,1,2903463
7,7,260,3.5111,-99.9227,2023-07-26,85.68000030517578,1,2903463
8,14,300,4.3823,-98.0583,2023-10-05,73.8800048828125,NA,2903463
9,14,340,4.3823,-98.0583,2023-10-05,73.8800048828125,NA,2903463
6,18,220,3.2919,-98.7084,2023-11-14,57.73999786376953,NA,2903463
7,19,260,3.3111,-98.4544,2023-11-24,47.709999084472656,1,2903463
6,26,220,3.253,-98.4274,2024-02-02,33.439998626708984,NA,2903463
7,26,260,3.253,-98.4274,2024-02-02,33.439998626708984,NA,2903463
7,27,260,3.3574,-98.5515,2024-02-12,41.779998779296875,1,2903463
11,31,420,4.0448,-98.0858,2024-03-23,36.19000244140625,NA,2903463
9,34,340,4.4104,-97.056,2024-04-22,41.82999801635742,NA,2903463
6,42,220,2.6411,-98.9506,2024-07-12,53.65999984741211,1,2903463
9,42,340,2.6411,-98.9506,2024-07-12,53.65999984741211,0,2903463
7,6,260,2.8258,81.0133,2023-08-22,105.56999969482422,1,2903464
8,22,300,1.9293,83.3886,2024-02-01,77.8800048828125,NA,2903464
6,24,220,-4.1344,84.9126,2024-01-26,66.20999908447266,NA,2903465
8,25,300,-4.0883,83.8528,2024-02-05,60.52000045776367,1,2903465
6,30,220,-3.7865,83.2923,2024-03-26,54.08000183105469,NA,2903465
7,30,260,-3.7865,83.2923,2024-03-26,54.08000183105469,NA,2903465
7,31,260,-4.076,83.968,2024-04-05,74.31999969482422,NA,2903465
7,41,260,-4.6619,87.3281,2024-07-14,55.96999740600586,1,2903465
9,41,340,-4.6619,87.3281,2024-07-14,55.96999740600586,0,2903465
9,37,340,0.8291,70.0454,2024-06-29,79.660003662109375,0,2903466
11,11,420,-10.1793,88.6109,2023-10-16,106.29999542236328,0,2903467
6,27,220,-10.6619,92.2907,2024-03-24,31.989999771118164,0,2903467
9,27,340,-10.6619,92.2907,2024-03-24,31.989999771118164,1,2903467
10,29,380,-10.0245,91.6955,2024-04-13,42.21999740600586,0,2903467
6,24,220,-17.6441,102.7967,2024-02-28,76.70999908447266,1,2903468
8,27,300,-17.7253,102.4128,2024-03-30,51.900001525878906,1,2903468
8,28,300,-17.9275,101.9942,2024-04-09,47.87000274658203,1,2903468
7,30,260,-18.4863,101.0656,2024-04-30,55.92000198364258,1,2903468
16,32,620,-19.2784,100.6804,2024-05-21,67.65999603271484,0,2903468
11,2,420,-46.0994,-28.5955,2023-10-12,171.97000122070312,0,2903473
12,14,460,-31.303,113.4716,2023-12-04,61.84000015258789,0,2903854
16,21,620,-31.2078,112.8171,2024-02-14,61.96999740600586,0,2903854
6,15,220,0.8921,-169.1223,2024-01-24,107.91999816894531,1,2903856
7,17,260,0.849,-167.5011,2024-02-13,136.08999633789062,NA,2903856
6,18,220,0.7632,-166.4728,2024-02-24,126.07999420166016,1,2903856
11,25,420,26.8131,177.3673,2024-07-06,7.200000286102295,0,2903860
11,6,420,35.8105,179.3432,2023-12-18,111.79000091552734,0,2903862
11,16,420,34.9791,177.8954,2024-03-29,211.92001342773438,0,2903862
11,17,420,35.221,177.6041,2024-04-09,271.4700012207031,0,2903862
11,18,420,35.4539,177.0464,2024-04-19,191.6300048828125,0,2903862
11,21,420,36.1787,176.0939,2024-05-20,41.67000198364258,0,2903862
13,21,500,36.1787,176.0939,2024-05-20,41.67000198364258,0,2903862
6,98,220,30.6883,-75.0311,2023-11-28,85.80000305175781,1,4903274
10,1,380,59.916,-39.421,2021-08-13,40.08000183105469,0,4903365
13,11,500,57.474,-46.29,2021-11-21,192.41000366210938,0,4903365
14,12,540,57.685,-44.893,2021-12-01,158.4199981689453,0,4903365
8,13,300,57.894,-41.765,2021-12-11,180.55999755859375,0,4903365
13,15,500,58.357,-39.738,2021-12-31,204.52999877929688,0,4903365
14,16,540,57.575,-39.993,2022-01-10,264.30999755859375,0,4903365
9,39,340,58.415,-42.676,2022-08-28,46.279998779296875,0,4903365
10,39,380,58.415,-42.676,2022-08-28,46.279998779296875,0,4903365
12,45,460,58.426,-40.751,2022-10-27,52.22999954223633,0,4903365
6,48,220,57.965,-40.155,2022-11-26,102.4800033569336,1,4903365
10,51,380,57.089,-40.769,2022-12-26,146.39999389648438,0,4903365
16,71,620,56.3908,-38.4823,2023-07-14,24.489999771118164,0,4903365
8,75,300,56.0949,-39.0377,2023-08-23,34.459999084472656,0,4903365
7,77,260,55.7492,-39.9908,2023-09-12,60.599998474121094,0,4903365
7,84,260,54.9182,-37.5422,2023-11-21,91.73999786376953,0,4903365
14,85,540,54.9045,-37.4077,2023-12-01,116.47000122070312,0,4903365
6,86,220,55.301,-37.8021,2023-12-11,100.2300033569336,1,4903365
6,99,220,55.372,-39.49,2024-04-19,40.380001068115234,0,4903365
6,100,220,55.3347,-39.2875,2024-04-29,52.5099983215332,0,4903365
6,103,220,55.6177,-37.948,2024-05-29,72.58000183105469,0,4903365
7,104,260,55.6983,-37.3603,2024-06-08,4.340000152587891,0,4903365
8,104,300,55.6983,-37.3603,2024-06-08,4.340000152587891,0,4903365
6,105,220,55.7765,-37.4304,2024-06-18,48.599998474121094,0,4903365
6,106,220,56.175,-37.4368,2024-06-28,64.4800033569336,0,4903365
6,4,220,37.796,-67.413,2022-10-11,63.599998474121094,1,4903456
9,4,340,37.796,-67.413,2022-10-11,63.599998474121094,1,4903456
6,30,220,39.81,-61.2731,2023-06-28,13.699999809265137,1,4903456
17,41,660,36.498,-58.177,2023-10-16,71.55000305175781,0,4903456
10,62,380,36.7433,-51.37,2024-05-13,23.389999389648438,1,4903456
6,15,220,15.006,-51.434,2023-03-05,99.910003662109375,1,4903458
