PRES_ADJUSTED,CYCLE_NUMBER,LONGITUDE,LATITUDE,TIME,AOU,SPIC,BBP700_ADJUSTED,bin,OUT.S,OUT.T,WMO
420,23,94.533,-51.032,2016-09-15,-8.698532252173742,-6.196024998008558,1.6584502134252124,11,1,1,5904676
300,35,101.588,-52.341,2017-01-25,-3.956418113138178,-3.4467417951529606,1.6256518088747565,8,1,1,5904676
300,58,110.486,-49.258,2017-10-05,-6.37842078951048,-5.9451523571276095,6.181302245154358,8,1,1,5904676
220,59,111.545,-49.624,2017-10-16,-4.327943200782606,-5.654642790127695,3.7304534211704805,6,1,1,5904676
540,139,164.213,-55.97,2020-03-14,-4.851638757424699,-3.789629761651617,1.4291147391664638,14,1,1,5904676
300,14,90.63,-53.674,2016-07-05,-9.398746955614055,-12.44501445379121,3.0700451544493292,8,1,1,5904686
340,22,92.988,-51.215,2016-09-23,-8.641680276124978,-5.805735781591659,2.9801858011835503,9,1,1,5904686
700,22,92.988,-51.215,2016-09-23,-4.869624754067508,-6.79865452124783,2.4039459906384404,18,1,1,5904686
220,24,94.333,-50.715,2016-10-13,-13.104265982519586,-5.850260062826134,15.381624044698551,6,1,1,5904686
260,24,94.333,-50.715,2016-10-13,-17.589917545154915,-7.668288506044892,16.527956438303562,7,1,1,5904686
380,24,94.333,-50.715,2016-10-13,-19.550389308722668,-8.083191800218897,6.335908639762566,10,1,1,5904686
500,24,94.333,-50.715,2016-10-13,-11.060371778581214,-7.878742600519017,2.899651584188763,13,1,1,5904686
260,26,97.09,-51.608,2016-11-02,-14.902830725679454,-9.741151214028097,6.251482139512264,7,1,1,5904686
300,26,97.09,-51.608,2016-11-02,-11.463705331492742,-8.001446697839917,3.6452335405081087,8,1,1,5904686
580,26,97.09,-51.608,2016-11-02,-3.8939853104667828,-4.885713562601307,1.1948775320952791,15,1,1,5904686
380,28,98.673,-50.59,2016-11-22,-7.6588889452754865,-5.998956179410829,1.8192843321964183,10,1,1,5904686
420,28,98.673,-50.59,2016-11-22,-13.039434497255929,-9.258138192366841,3.669864027856433,11,1,1,5904686
220,33,100.716,-48.123,2017-01-11,-7.662149571478176,-8.206133746127954,1.9364494410904833,6,1,1,5904686
500,75,148.541,-52.203,2018-04-10,-8.08528192679027,-9.408616284622404,2.2642607647333026,13,1,1,5904688
540,75,148.541,-52.203,2018-04-10,-5.533806420189533,-7.09983378450463,2.3864845212620387,14,1,1,5904688
620,75,148.541,-52.203,2018-04-10,-6.932269588658907,-8.24089538474389,2.565211938253514,16,1,1,5904688
460,1,-102.937,-59.147,2017-01-20,-8.772480970083295,-8.423345319254448,1.5961040310344825,12,1,1,5904845
660,1,-102.937,-59.147,2017-01-20,-3.486862938576997,-4.501457358075473,2.1551599284141467,17,1,1,5904845
420,43,-46.415,-52.575,2018-03-18,-5.470653023361224,-4.573589345520967,1.3492522134001896,11,1,1,5904845
340,79,-29.727,-49.603,2019-03-15,-3.8246330092680023,-3.618738482634885,1.7296394109049607,9,1,1,5904845
420,72,-48.363,-57.517,2018-12-24,-5.098926680418615,-3.726687550569863,2.2519984685437335,11,1,1,5904980
460,72,-48.363,-57.517,2018-12-24,-6.427331013059422,-3.6232576519516044,2.3291968821573246,12,1,1,5904980
420,19,-51.696,-51.826,2017-06-28,-6.918205927534275,-4.50613014698478,2.3988568175931397,11,1,1,5904982
300,15,-57.609,-56.251,2017-05-18,-11.723395389045084,-5.2562142962344804,2.2008006125936195,8,1,1,5904984
500,15,-57.609,-56.251,2017-05-18,-23.112590367026836,-25.57048934517035,7.759075486956915,13,1,1,5904984
340,17,-52.748,-56.914,2017-06-08,-7.506858737395811,-16.169067088591525,1.1449324238675174,9,1,1,5904984
660,17,-52.748,-56.914,2017-06-08,-8.645334680123378,-12.706635167583954,4.191579160366594,17,1,1,5904984
300,29,-46.033,-58.968,2017-10-06,-9.7933653494159,-8.766809646745656,3.302741428496674,8,1,1,5904984
340,29,-46.033,-58.968,2017-10-06,-12.273946064165473,-8.372277980436019,1.0746888757267878,9,1,1,5904984
300,35,-44.271,-58.712,2017-12-05,-23.865270793547896,-15.826217315635665,1.9803445806214168,8,1,1,5904984
340,35,-44.271,-58.712,2017-12-05,-9.089470587326563,-7.9645302106970135,3.1669626826532458,9,1,1,5904984
380,80,-32.739,-58.5,2019-02-28,-13.729144226115384,-20.65412634198725,1.5421342750873848,10,1,1,5904984
540,29,92.537,-50.273,2017-09-14,-4.690290189635458,-5.127361740238092,2.2634235494061796,14,1,1,5905072
260,45,97.408,-47.167,2018-02-12,-5.90255227177973,-7.772339118624498,3.0978090738396915,7,1,1,5905072
220,107,172.278,-54.658,2019-09-18,-8.71012541604931,-16.377716256164963,2.626509705242179,6,1,1,5905072
420,107,172.278,-54.658,2019-09-18,-10.550950584618558,-20.302268118601642,2.6553859748968054,11,1,1,5905072
420,123,-175.984,-57.998,2020-02-06,-3.9114825734488816,-4.106741319367402,3.061117122739624,11,1,1,5905072
460,123,-175.984,-57.998,2020-02-06,-6.030101177277235,-6.575116824976991,2.7091764906716573,12,1,1,5905072
500,18,74.805,-47.332,2017-05-27,-4.571342142032524,-4.837909157520719,3.6208748308676038,13,1,1,5905073
220,22,79.054,-49.781,2017-07-06,-7.775646845699158,-11.987079831892551,2.622762470811753,6,1,1,5905073
380,25,82.006,-50.242,2017-08-05,-4.908307945073943,-4.594955180473842,3.9729101703119927,10,1,1,5905073
300,26,82.436,-50.937,2017-08-15,-4.325083807791282,-6.202349658615038,2.608139331695014,8,1,1,5905073
300,29,86.526,-50.703,2017-09-14,-8.3394346984415,-8.200905652047542,3.76175734303125,8,1,1,5905073
540,29,86.526,-50.703,2017-09-14,-6.225794974730865,-6.548370234765953,1.528485235406908,14,1,1,5905073
260,40,86.021,-48.941,2018-01-02,-4.1647686850648595,-4.700026682304191,2.1055178443898805,7,1,1,5905073
660,40,86.021,-48.941,2018-01-02,-4.701388001227933,-3.423094284779185,1.2674186269206453,17,1,1,5905073
380,44,89.285,-49.165,2018-02-11,-5.0705213432067815,-7.700061975746635,1.1704399324797992,10,1,1,5905073
220,70,118.178,-51.415,2018-10-30,-17.411356921518195,-18.359752059309404,3.4625704565969784,6,1,1,5905073
500,27,-106.021,-57.301,2017-11-11,-7.037810767479666,-4.307955923692843,1.0926338193831235,13,1,1,5905076
460,28,-106.835,-57.316,2017-11-21,-5.592508105006817,-3.865508754949949,1.037882537004337,12,1,1,5905076
460,105,-53.777,-50.864,2020-01-05,-7.453786321594633,-5.164169467251915,1.7311053707423265,12,1,1,5905076
460,106,-53.562,-50.928,2020-01-15,-5.935389033571604,-8.867997512864914,1.2054743583356375,12,1,1,5905076
500,107,-53.593,-49.798,2020-01-25,-3.8470882016226993,-7.339018937929447,2.635741671418903,13,1,1,5905076
700,33,-105.921,-55.911,2018-01-12,-6.9002036329229375,-9.421641434429063,2.7122023057778963,18,1,1,5905079
460,71,-70.961,-58.693,2019-01-31,-7.79635932601695,-6.713678424895433,1.0202094468988994,12,1,1,5905079
460,78,-61.728,-56.229,2019-04-11,-4.538452208459393,-3.555735937909187,7.670807788165362,12,1,1,5905079
500,78,-61.728,-56.229,2019-04-11,-5.078146894372874,-4.84711241010634,9.236616815959087,13,1,1,5905079
420,87,-52.544,-51.66,2019-07-11,-7.107230706151203,-5.697057875989547,1.5922580285749355,11,1,1,5905079
660,101,-56.227,-53.058,2019-11-29,-5.7570112753714815,-4.562614343323632,2.7114254681054764,17,1,1,5905079
700,101,-56.227,-53.058,2019-11-29,-3.4816328408421686,-4.351962984335029,2.8907808045886005,18,1,1,5905079
620,104,-54.739,-50.103,2019-12-29,-12.190628311624954,-18.427078438012977,4.573077173538132,16,1,1,5905079
420,26,-122.37180706715208,-64.45706301892608,2017-10-30,-4.31740505184456,-6.012145752988874,2.060425070617409,11,1,1,5905080
300,93,-131.773,-56.451,2019-10-29,-4.00133671920096,-4.22376391634489,4.63176069388444,8,1,1,5905099
380,98,-127.671,-56.751,2019-12-18,-3.388455694345712,-5.276894884965952,2.393536814372452,10,1,1,5905099
420,98,-127.671,-56.751,2019-12-18,-3.9167278787280138,-4.472367143072564,2.971787337426334,11,1,1,5905099
260,42,151.036,-53.661,2019-03-12,-4.49491161134006,-6.746944362698413,2.7768204475695404,7,1,1,5905371
220,44,152.863,-55.696,2019-04-02,-3.8487117342455965,-6.521416358273948,1.432055465359278,6,1,1,5905371
420,44,152.863,-55.696,2019-04-02,-5.159980637599691,-4.989221025924784,3.6113127539463896,11,1,1,5905371
500,68,-175.468,-57.516,2019-11-29,-7.3765638038532435,-11.878017042378517,1.7173527229864,13,1,1,5905371
420,73,-171.151,-56.502,2020-01-19,-4.780786386218698,-5.32089668809669,1.0787609404229617,11,1,1,5905371
380,74,-170.369,-56.05,2020-01-29,-6.943016290233997,-4.055653626284027,3.223619754877559,10,1,1,5905371
420,74,-170.369,-56.05,2020-01-29,-13.104445334106645,-8.901318992417586,4.256598820956457,11,1,1,5905371
500,109,-142.852,-55.69,2021-01-15,-5.703009988040914,-5.742009354181451,5.261065398683108,13,1,1,5905371
540,109,-142.852,-55.69,2021-01-15,-5.257508588819794,-5.162741121390309,5.184861491861918,14,1,1,5905371
420,127,-127.405,-55.434,2021-07-15,-3.9525384349834782,-3.9276145795188477,1.3154247715013325,11,1,1,5905371
220,28,141.696,-51.651,2018-10-25,-3.977611344365563,-5.622326206629426,7.626748890228325,6,1,1,5905372
380,55,173.094,-61.156,2019-07-24,-4.4867065086336915,-3.86356032088706,2.815878535355654,10,1,1,5905372
420,43,166.097,-58.884,2019-04-05,-5.030097919077561,-4.246544954587768,1.580936397898634,11,1,1,5905377
540,71,176.198,-61.207,2020-01-12,-6.576118136539424,-7.16659180539969,1.318907144795688,14,1,1,5905377
460,140,-150.507,-55.341,2021-12-08,-8.612213522810789,-10.981791048324695,2.264874153852303,12,1,1,5905377
660,144,-143.22,-53.452,2022-01-17,-6.079036131883522,-3.4230603431342406,3.880025554522845,17,1,1,5905377
700,144,-143.22,-53.452,2022-01-17,-9.62649675711556,-4.68485304132373,6.3215344056439635,18,1,1,5905377
660,146,-142.547,-53.061,2022-02-07,-4.263013902646322,-3.5228072124139715,1.2106216307956639,17,1,1,5905377
460,147,-141.969,-52.597,2022-02-17,-3.5102635860612494,-3.3568334738843184,5.344291091475782,12,1,1,5905377
460,83,83.181,-64.093,2021-04-01,-3.4506976052561518,-4.5258568701243425,1.0903465314968117,12,1,1,5906000
460,84,85.135,-63.42,2021-04-11,-8.167832280387573,-7.646014894514588,9.018700563778495,12,1,1,5906000
500,84,85.135,-63.42,2021-04-11,-7.119143923211941,-6.9313739802594,9.443633395470089,13,1,1,5906000
420,128,74.427,-44.603,2022-11-02,-5.435677273250794,-8.472685497051925,2.440296987910191,11,1,1,5906035
460,116,119.05,-50.343,2023-04-10,-8.124199478604202,-8.419665014888997,1.1439150784840366,12,1,1,5906207
420,5,-88.537,-59.448,2020-01-21,-5.42579489446873,-3.470739171624837,1.4541116882383203,11,1,1,5906212
260,10,-88.697,-59.509,2020-03-12,-7.410780314947804,-3.746826743503476,8.68039393548068,7,1,1,5906212
220,26,-83.381,-59.509,2020-08-24,-4.947493633520633,-3.392408536456383,1.5561915589798436,6,1,1,5906212
300,14,129.385,-55.424,2022-06-26,-16.1454612444261,-15.817900186515406,16.844355028161765,8,1,1,5906508
540,24,148.355,36.186,2023-01-01,-4.501279683797549,-8.664982383680897,1.074176806735563,14,1,1,5906511
380,8,45.782,-48.77,2022-07-21,-4.293474104582012,-3.9578884205600176,1.7771313558807917,10,1,1,5906526
420,8,45.782,-48.77,2022-07-21,-7.019897892563832,-6.63172148417301,3.2445975466894996,11,1,1,5906526
420,67,70.709,-43.571,2024-03-24,-4.853664278060939,-6.626561911610051,2.0396893179146756,11,1,1,5906526
420,9,-130.9427,-55.2031,2023-03-22,-6.798108147656761,-6.3751988516293014,1.3391274922623375,11,1,1,5906553
420,45,178.1322,-60.3559,2024-04-12,-4.761358506598908,-5.105419061176498,2.5978883525803385,11,1,1,5906581
620,24,7.667,72.196,2014-07-10,-7.252265043380238,7.902099521033299,2.8195319424547884,16,1,1,6902544
580,30,4.842,72.835,2014-09-08,-4.996345540064621,-12.02076341053358,1.584285222273302,15,1,1,6902544
660,13,3.341,71.846,2014-05-24,-12.414401271080191,-6.845818278822528,2.460369913140808,17,1,1,6902545
700,134,1.884,71.558,2017-09-16,-7.479008273380309,-5.715876200388161,1.0917782597711048,18,1,1,6902545
260,158,-7.173,63.655,2018-05-18,-5.729913346663112,-29.83810852703965,1.2301257605876892,7,1,1,6902545
460,180,2.675,72.22,2017-04-13,-15.343383103958093,-55.1639672433127,1.0319694949303522,12,1,1,6902548
460,2,1.495,72.66,2014-08-08,-3.806071936516883,-12.744986746853058,5.802687649513247,12,1,1,6902549
380,32,-3.41,71.128,2015-04-06,-11.161115683385047,-7.1048353209550426,1.5356522787869644,10,1,1,6902549
380,38,-5.031,70.784,2015-05-06,-5.612897535693963,-4.1507683598294065,7.882855326182504,10,1,1,6902549
420,38,-5.031,70.784,2015-05-06,-5.777504336481094,-7.986891146104887,12.243073238387424,11,1,1,6902549
340,43,-7.054,69.053,2015-05-31,-11.816225507884631,-11.641737813842298,4.930018928963159,9,1,1,6902549
380,43,-7.054,69.053,2015-05-31,-5.119061205869818,-7.511825391708982,1.6844272799309825,10,1,1,6902549
260,94,-0.88,64.613,2016-02-10,-4.588503900803365,-13.306492884719846,1.2831069774484196,7,1,1,6902549
660,104,5.364,71.879,2016-04-01,-6.762292407296854,8.7198730555402,1.2468988687386375,17,1,1,6902550
420,108,4.273,72.038,2016-04-21,-3.6258198390606298,21.15627033919462,2.420788865306851,11,1,1,6902550
580,108,4.273,72.038,2016-04-21,-6.627841419991756,14.240878870948533,1.1846462690743396,15,1,1,6902550
420,139,8.849,74.298,2016-09-23,-3.4218083027643664,4.478291318865751,1.571214683748779,11,1,1,6902550
380,188,-1.576,76.483,2017-05-28,-6.348607203284274,8.24678107673475,2.8325559979973605,10,1,1,6902550
420,188,-1.576,76.483,2017-05-28,-5.796720466767888,6.886391972737853,8.935328529753761,11,1,1,6902550
260,190,-1.155,76.196,2017-06-07,-3.3573966797082706,12.795242310574494,3.7882649933975356,7,1,1,6902550
580,221,-6.694,75.833,2017-11-09,-4.402196652297287,4.370197548079344,1.3947588302645313,15,1,1,6902550
340,32,-61.53471,70.587341,2016-08-08,-6.01034209004038,4.709834433565204,1.1452689379831864,9,1,1,6902667
380,33,-61.5412515,70.59739566666667,2016-08-09,-3.8960279961461195,6.047955289124082,1.9853191841244389,10,1,1,6902667
260,17,-60.00792766666667,67.94576116666667,2019-07-17,-16.1459071472864,10.648777956020524,1.027211918939064,7,1,1,6902953
260,45,19.38067,-40.36285,2022-07-24,-4.567311040362839,-6.31815988251574,2.0009337553851645,7,1,1,6904118
340,87,30.92722,-43.7099,2023-05-09,-9.227584570216816,-9.098025811952702,2.015393436496689,9,1,1,6904118
380,28,-50.52053833333333,58.27875533333333,2023-01-29,-3.6174565512875834,-5.652985408335343,1.337072132966977,10,1,1,6904240
420,28,-50.52053833333333,58.27875533333333,2023-01-29,-3.7541035377667296,-6.5006248088864345,1.8519117763855755,11,1,1,6904240
380,37,-48.858198333333334,57.632531666666665,2023-04-28,-5.713845352496148,-9.405716319640241,3.710316980910475,11,1,1,6904240
620,37,-48.858198333333334,57.632531666666665,2023-04-28,-4.050671767435094,-7.188995847921678,4.916154433859592,17,1,1,6904240
340,60,-36.923883833333335,58.80423616666667,2023-12-16,-14.31256925688994,-3.5367861796297735,2.586576855821883,10,1,1,6904240
260,72,-35.09768833333333,61.12181166666666,2024-04-14,-5.404615683554571,-3.9172144547185517,1.7196380959403337,7,1,1,6904240
420,72,-35.09768833333333,61.12181166666666,2024-04-14,-11.395733019273475,-8.125291829889484,1.1622556792809338,11,1,1,6904240
220,35,-44.603494500000004,57.299875500000006,2023-04-25,-12.555080889773723,-15.490524412874493,2.517803396466276,6,1,1,6904241
340,35,-44.603494500000004,57.299875500000006,2023-04-25,-6.296087721966449,-3.995576220942887,1.3769715188604574,9,1,1,6904241
340,51,49.38321216666667,-11.492447499999999,2024-02-06,-5.036231089594055,5.272528299696412,1.6181143323932197,9,1,1,6990505
540,183,5.63465087677493,40.304184966065264,2022-02-16,-13.804077435683805,-3.993877172829632,1.6888355621504065,14,1,1,7900562
580,183,5.63465087677493,40.304184966065264,2022-02-16,-19.653364154728678,-7.597652551952306,1.2908512474877822,15,1,1,7900562
300,186,5.601996581237772,40.203924041019356,2022-03-03,-12.48552689272967,-10.329045461178264,1.1255577282600746,8,1,1,7900562
220,189,5.569296571299728,40.103522755630465,2022-03-18,-69.19418402879137,-8.91768534187775,2.07886801930393,6,1,1,7900562
460,193,5.525769707810665,39.96987897229437,2022-04-07,-14.05468114611644,-6.660041440200228,1.1721940927626602,12,1,1,7900562
260,194,5.514886001068677,39.93646191374419,2022-04-12,-15.398597094068563,-4.747509263659128,1.2055546446893055,7,1,1,7900562
260,198,5.471308483805744,39.80266260433896,2022-05-02,-26.052485668386353,-13.445791883896486,1.4101267961414468,7,1,1,7900562
300,198,5.471308483805744,39.80266260433896,2022-05-02,-16.965244193855888,-7.426804243729563,1.7238051610116272,8,1,1,7900562
380,206,5.384214057402343,39.53525007517837,2022-06-11,-10.56253627307063,-4.129411257199841,3.9968722089317406,10,1,1,7900562
220,209,5.351573244337343,39.435030546374755,2022-06-26,-15.789411517371327,-11.8350207700964,2.712819833915051,6,1,1,7900562
220,213,5.30799033408555,39.301214678472604,2022-07-16,-20.894157213731184,10.670392928053602,1.703639076315822,6,1,1,7900562
660,231,5.112027112351202,38.69953414723263,2022-10-14,-6.637910659910258,4.459352452249394,2.2309407412116764,17,1,1,7900562
420,232,5.101150839869562,38.666139914647836,2022-10-19,-4.118398177180987,8.773560819239993,2.5813098000534094,11,1,1,7900562
420,234,5.079332999419667,38.59915096786374,2022-10-29,-5.408640276322829,8.262493296893457,2.4230860051256005,11,1,1,7900562
300,4,-38.42104,49.63913,2021-08-06,-14.565904375600054,-4.992970863876982,40.49022371299595,8,1,1,7900585
340,7,-37.49771,49.56932,2021-08-12,-16.841072715357765,-15.503238376471007,1.1904155850862876,9,1,1,7900585
220,12,-37.74843,50.27995,2021-08-22,-4.559998238221446,-14.524553346908544,2.5903339925392275,6,1,1,7900585
260,13,-37.96056,50.30645,2021-08-24,-11.34065608977605,-20.696709718633105,2.2395235594955216,7,1,1,7900585
220,23,-39.21494,51.14375,2021-09-13,-6.1037872505050075,-13.517379399431327,2.3652843938819412,6,1,1,7900585
220,25,-39.00865,51.19419,2021-09-17,-7.074150274615319,-22.062693477619256,1.3334791808810587,6,1,1,7900585
260,39,-38.59784,51.25639,2021-10-15,-7.006630529458663,-16.719233008371422,2.6640543635883285,7,1,1,7900585
220,62,-39.07958,50.46423,2021-11-30,-5.026700270975276,-13.053283025011165,1.220050167208688,6,1,1,7900585
220,63,-39.00711,50.47088,2021-12-02,-5.104462030971092,-6.2705923468422995,2.003122876079915,6,1,1,7900585
540,74,-39.6321,51.05154,2021-12-24,-5.104793982444667,-5.748620451922281,1.2650792703331775,14,1,1,7900585
260,104,-35.26421,51.03337,2022-04-30,-9.848899990716905,-5.138326545995539,1.717642845666811,7,1,1,7900585
340,105,-35.25853,51.24893,2022-05-05,-7.750336123714821,-5.631935116423104,1.3096731575416318,9,1,1,7900585
340,106,-35.27306,51.37506,2022-05-10,-11.097967649160282,-10.540799403968212,4.7861345145131295,9,1,1,7900585
340,109,-34.02639,51.5246,2022-05-25,-10.561438420857774,-12.650144723333879,1.5508106139670363,9,1,1,7900585
340,110,-33.55576,51.57974,2022-05-30,-9.58600463552139,-10.97855653250572,6.14022039386682,9,1,1,7900585
300,111,-33.10809,51.5812,2022-06-04,-8.750118286755479,-6.234071674428839,2.6127292845837475,8,1,1,7900585
340,111,-33.10809,51.5812,2022-06-04,-10.465749759684783,-12.417699887845428,2.3248758704912826,9,1,1,7900585
300,123,-30.87551,52.2826,2022-08-03,-6.788660441092272,-4.0739795824372935,1.512876060878153,8,1,1,7900585
300,128,-28.2222,52.27456,2022-08-28,-24.596841935747236,-3.4154623910315567,8.061917572982694,8,1,1,7900585
220,140,-28.23025,53.80252,2022-10-27,-4.683954407973486,-4.571302377468559,6.84366471678185,6,1,1,7900585
220,146,-27.06134,54.75228,2022-11-26,-11.655677893461068,-7.341802580990612,1.00272364108074,6,1,1,7900585
300,147,-27.14467,54.86886,2022-12-01,-20.465621174258676,-15.118744686078802,1.2524129571319125,8,1,1,7900585
340,179,-24.8894,58.03078,2023-05-11,-14.321258965642894,4.913312278678391,3.7702216530528507,9,1,1,7900585
420,189,-26.58623,57.9154,2023-06-30,-18.889004594249208,7.147465055353385,7.44948867302021,11,1,1,7900585
340,192,-27.16426,57.93477,2023-07-15,-18.013223916034168,5.726699955737862,2.335959471864727,9,1,1,7900585
340,193,-27.14308,57.87187,2023-07-20,-7.971191423939854,3.7819226409104676,5.229861588194085,9,1,1,7900585
500,193,-27.14308,57.87187,2023-07-20,-4.776401164406089,3.812046690369181,1.4705237488075418,13,1,1,7900585
420,197,-27.2762,57.70476,2023-08-09,-7.4763414353632935,-5.736236751624355,3.9471483376432577,11,1,1,7900585
