WMO,CYCLE_NUMBER,critical_pres,total_area_aou,total_area_bbp,integrated_poc
5903887,237,220,232.52142782554282,0.00309758625696635,708.4684555693817
6901578,15,500,2670.9540787846213,0.00309758625696635,120.04411501586192
6901578,269,420,345.009117568088,0.00309758625696635,48.388389693304546
6901578,209,340,1331.0834284883708,0.00309758625696635,118.73015351825676
6901578,258,580,1566.83811460974,0.00309758625696635,107.82734875341886
6901578,334,340,3110.9831758546475,0.00309758625696635,75.48352634596381
6901578,328,660,8142.881673671996,0.00309758625696635,437.60194231850056
6901578,329,500,2997.363322579253,0.00309758625696635,97.63024660070286
6901578,207,300,239.85856983773465,0.00309758625696635,184.74372055155428
6901578,264,300,648.6188600298395,0.00309758625696635,214.58461677750685
6901578,127,620,842.653487169548,0.00309758625696635,114.19175070415523
6901578,48,420,1308.9016772274085,0.00309758625696635,65.03425695137683
6901578,249,580,3546.1351659959028,0.00309758625696635,203.50355316446118
6901578,276,300,982.7600204916833,0.00309758625696635,181.16857023179983
6901578,14,500,2303.2683755734392,0.00309758625696635,161.4367557919432
6901578,325,500,1156.4725058893418,0.00309758625696635,90.35577614751743
6901578,357,460,2603.4575235154052,0.00309758625696635,146.0245536011363
6901484,36,260,0,0.00309758625696635,30.77635614829038
6901484,12,340,1181.4429206448294,0.00309758625696635,797.8384970421929
6901484,5,260,484.6303902648709,0.00309758625696635,230.15721430369626
6901484,24,340,999.7348987742654,0.00309758625696635,231.05283760683858
6901765,191,420,1253.923693848479,0.00309758625696635,159.19217902921775
6901765,133,540,2807.3223775475985,0.00309758625696635,270.93091999776135
3901497,191,820,2243.4818106697167,0.00309758625696635,154.93010166364616
5904980,93,740,158.2683195003338,0.00309758625696635,33.794612801472056
5904980,67,700,654.9540479881157,0.00309758625696635,94.49423757922747
5904980,106,260,804.826333944207,0.00309758625696635,44.87005927966372
5904980,70,300,705.0805889512899,0.00309758625696635,86.18137220343165
6902549,27,300,918.4923020029834,0.00309758625696635,53.54316047810713
6902549,46,300,1629.0877046294463,0.00309758625696635,327.27299211823293
6902549,18,220,573.3320786746453,0.00309758625696635,219.99638965757046
6902549,35,860,510.1904832331035,0.00309758625696635,9.063879330326365
6902549,43,340,1396.1373414046232,0.00309758625696635,644.6055548377657
6902549,39,340,3324.1955168615464,0.00309758625696635,1376.892294350466
6902549,179,260,369.97136494378447,0.00309758625696635,150.8155399815291
6902549,42,300,158.76288880025982,0.00309758625696635,245.70899668499683
6902549,187,260,464.8381334826485,0.00309758625696635,425.07303605203975
6902549,37,420,2262.190327950331,0.00309758625696635,869.1199892754012
6902549,237,740,574.866496916293,0.00309758625696635,36.971944614473976
6902549,38,380,2474.387904884497,0.00309758625696635,780.4072578366745
5906032,79,420,0,0.00309758625696635,0
5906032,88,260,1645.9000600590412,0.00309758625696635,194.96991035565438
5906032,110,380,818.2875148235232,0.00309758625696635,33.062986657372726
5905982,117,300,1730.1942400402008,0.00309758625696635,149.9223115032206
5905982,115,260,1868.2544309906793,0.00309758625696635,97.47565510246635
5905982,70,900,946.845360218445,0.00309758625696635,29.896605029059852
5905982,119,220,852.1962923898916,0.00309758625696635,124.66301565643779
4903365,8,340,511.5939743695888,0.00309758625696635,18.0189851369809
4903365,96,580,169.14913713734785,0.00309758625696635,57.35964350567031
4903365,2,380,1763.6135607410172,0.00309758625696635,59.844965208293814
4903365,98,300,233.05609898980606,0.00309758625696635,92.99850397217737
4903365,85,460,1252.833054751973,0.00309758625696635,110.71446438482043
4903365,49,460,698.4374718222458,0.00309758625696635,93.29105786643576
4903365,38,260,1471.2934571139717,0.00309758625696635,335.69988183722586
4903365,100,220,173.2490856324635,0.00309758625696635,36.23442431897109
4903365,3,340,1186.4176502869961,0.00309758625696635,116.63193586281108
4903365,39,340,1116.2974708427164,0.00309758625696635,151.47304842243054
4903365,51,380,725.8591000041747,0.00309758625696635,49.66237560942607
4903365,44,620,290.97016419179124,0.00309758625696635,106.41901122689512
4903365,13,300,1481.2229356562173,0.00309758625696635,122.18255500687343
4903365,111,260,1509.7492494573435,0.00309758625696635,82.33695492766851
4903365,25,580,278.69571212143114,0.00309758625696635,16.187794172657025
